timestamp,fps,tracked_objects,top_threat,threat_score,distance_cm,velocity_cm_s,velocity_valid,threat_level,clusters,user_moving,position,bbox_cx_norm,ego_z_cm_s,ego_confident,all_tracks
2026-05-18T17:37:44.821787+00:00,6.0,4,person,600.0,56,-101.9,True,CRITICAL,1,True,on your left,0.366,6.6,True,person:56cm:on your left|person:56cm:ahead|person:55cm:on your left
2026-05-18T17:37:47.857559+00:00,9.9,1,person,1.0,279,0.0,True,SAFE,1,True,on your right,0.777,0.0,False,
2026-05-18T17:37:50.826932+00:00,10.3,1,tv,0.6,204,20.4,True,SAFE,1,True,on your right,0.702,-93.2,True,tv:204cm:on your right
2026-05-18T17:37:53.795478+00:00,9.3,3,tv,25.3,74,0.0,False,CAUTION,1,True,on your right,0.746,0.0,False,chair:476cm:on your left
2026-05-18T17:37:56.261267+00:00,12.1,1,toilet,0.0,367,0.0,True,SAFE,1,True,on your left,0.275,0.0,False,
2026-05-18T17:37:58.534822+00:00,13.3,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-18T17:38:01.101354+00:00,12.0,1,person,0.0,660,0.0,True,SAFE,1,True,on your left,0.073,0.0,False,person:660cm:on your left
2026-05-18T17:38:03.335495+00:00,14.2,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-18T17:38:05.473785+00:00,13.8,1,person,0.0,-1,0.0,True,SAFE,0,True,ahead,0.513,0.0,False,
2026-05-18T17:38:07.677872+00:00,14.0,2,person,0.0,-1,0.0,True,SAFE,0,True,ahead,0.432,0.0,False,person:758cm:ahead
2026-05-18T17:38:10.539935+00:00,11.9,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-18T17:38:12.575520+00:00,14.5,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-18T17:38:15.113335+00:00,13.8,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-18T17:38:17.178530+00:00,15.0,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
2026-05-18T17:38:19.413205+00:00,15.0,0,,0,-1,0,True,NONE,0,True,,-1,0.0,False,
